gene,betweenness,degree,closeness,constraint,coreness,eccentricity,eigen_centrality,hub score
5930,25303.00604,32,6.49E-09,0.032219036,18,8,0.016398126,0.012229393
5932,22144.88782,38,6.59E-09,0.033750004,24,9,0.011180815,0.005764553
5970,377495.4082,292,6.68E-09,0.005969769,53,9,0.186655239,0.117391835
5979,30252.35839,47,6.34E-09,0.027943274,25,9,0.011108776,0.00490858
5981,38563.70168,61,6.57E-09,0.030524388,28,9,0.014944414,0.011218264
5982,10981.34069,45,6.57E-09,0.038413614,25,9,0.011805767,0.008103498
5985,2594.120003,32,5.65E-09,0.046885977,21,9,0.010929904,0.001167501
6015,20469.11586,79,6.41E-09,0.027284278,36,9,0.031482953,0.020340085
6041,2285.233796,4,5.64E-09,0.25,4,10,0.000483746,0.000167455
6102,0,2,5.53E-09,0.542065809,2,10,0.000142203,0.000196481
6117,79508.82376,104,6.57E-09,0.017754495,29,9,0.033649457,0.01870778
6118,38874.85542,78,6.56E-09,0.018967769,28,9,0.025398366,0.012579454
6119,12480.9117,46,6.36E-09,0.033771519,25,9,0.01123582,0.00935243
6188,44354.38549,257,6.54E-09,0.011639774,104,9,0.696163093,0.293752568
6194,58781.99173,261,6.51E-09,0.01194691,104,9,0.746211147,0.309631109
6196,7870.928342,35,6.21E-09,0.033821785,23,9,0.010646273,0.002092306
6198,20565.71045,56,6.27E-09,0.021572799,29,9,0.01978085,0.009206761
6199,2657.031411,21,6.26E-09,0.052171113,19,9,0.009923712,0.003263551
6203,62289.2394,295,6.48E-09,0.010254501,104,9,0.768717816,0.272906796
6208,25647.24075,182,6.48E-09,0.014490688,101,9,0.514978483,0.192158108
6223,20148.72706,149,6.47E-09,0.015588291,80,9,0.391248381,0.086705706
6240,7567.584114,18,6.28E-09,0.080427746,13,9,0.007359057,0.006306395
6241,4058.298657,16,6.28E-09,0.083613484,12,9,0.003446038,0.002550798
6251,115.9839494,6,5.53E-09,0.191224177,6,9,0.001390987,0.000399543
6258,5478.005034,31,6.14E-09,0.036548809,18,10,0.001869975,0.001073836
6259,131.8396549,6,5.52E-09,0.19684573,5,10,0.000246059,3.08E-06
6300,25728.62449,65,6.21E-09,0.018309095,29,9,0.011070357,0.004328277
6303,72939.01317,90,6.12E-09,0.013171456,27,9,0.019663209,0.009555497
6418,48615.76954,79,6.17E-09,0.015828801,31,9,0.030613111,0.014029952
6421,82624.90718,97,6.41E-09,0.015478973,42,9,0.133194427,0.076681209
6446,55289.19891,82,6.22E-09,0.013010844,30,9,0.041718151,0.010282375
6464,114257.9769,167,6.34E-09,0.00969472,31,8,0.033739995,0.007997264
6500,66779.26799,124,6.13E-09,0.013978052,33,9,0.039700918,0.013464627
6502,16467.53098,54,6.12E-09,0.025757871,27,9,0.02194899,0.013031167
6513,222.5315088,11,6.11E-09,0.094920475,11,9,0.002975924,0.001950504
6514,240.994354,6,6.10E-09,0.168434706,6,9,0.000969862,6.35E-05
6576,137.9770268,7,6.11E-09,0.143613589,7,9,0.003850583,0.00147312
6591,770.7085642,4,5.68E-09,0.251107124,4,10,0.000745549,0.000313124
6595,49328.86,87,6.36E-09,0.019087288,31,9,0.030391373,0.013687186
6597,74773.43204,132,6.35E-09,0.013291169,33,9,0.048763999,0.016219447
6608,2800.597812,3,5.52E-09,0.333333333,3,10,7.85E-05,1.37E-05
6621,2198.443832,9,6.10E-09,0.164455711,7,9,0.001020563,0.000494666
6622,30786.71494,67,6.27E-09,0.018111774,29,8,0.019349832,0.012694836
6643,1209.051642,21,6.07E-09,0.080398533,14,9,0.001555258,0.000610845
6647,25541.15218,57,6.35E-09,0.027896159,20,9,0.004634918,0.002645482
6648,54060.68581,81,6.11E-09,0.017446173,21,9,0.016552008,0.004969661
6659,434.7485319,2,5.98E-09,0.5,2,9,0.00049683,0.000490525
6672,4504.747432,33,5.98E-09,0.037200184,21,9,0.008071213,0.00700452
6714,691273.9048,441,6.26E-09,0.005050776,37,9,0.095703762,0.033281573
6715,972.0853782,21,5.52E-09,0.137026305,20,10,0.000175714,5.13E-06
6721,71692.45063,93,6.14E-09,0.012665654,31,9,0.02106188,0.010473941
6723,1904.744456,15,5.54E-09,0.096023,12,10,0.001760631,0.002380305
6772,152642.2974,143,6.21E-09,0.00924236,31,9,0.032955958,0.007989454
6774,85172.58022,149,6.20E-09,0.009643894,31,8,0.029398593,0.007552765
6775,205.0539866,20,5.54E-09,0.061807707,15,9,0.003377377,0.002068417
6788,18667.35397,40,6.15E-09,0.037782417,20,9,0.003007736,0.001175598
6790,30068.4409,65,6.10E-09,0.018347136,28,9,0.013087228,0.005841203
6794,34771.78039,55,6.10E-09,0.023395597,24,9,0.00916026,0.005296174
6799,948.3097911,8,5.52E-09,0.150188383,7,10,0.000133339,3.29E-06
6827,1575.70443,12,5.66E-09,0.094473549,9,9,0.004138122,0.000666741
6872,29922.17193,81,6.14E-09,0.021875939,31,9,0.021955921,0.011080131
6883,3033.241266,62,6.10E-09,0.035433367,31,9,0.019893818,0.008162546
6885,64663.48327,113,6.17E-09,0.012232516,34,9,0.053612794,0.016066134
6908,116297.5814,190,6.10E-09,0.010034177,34,9,0.058198648,0.023067417
6924,7647.653601,30,5.86E-09,0.039639681,20,10,0.004449256,0.003718985
6934,3845.590086,20,6.11E-09,0.055149778,17,9,0.003868838,0.001050472
7001,7266.425902,32,5.92E-09,0.050857949,20,9,0.001520132,0.000111002
7003,5719.517818,18,5.55E-09,0.075435001,13,9,0.002049898,0.00027579
7013,26213.07449,49,5.89E-09,0.026699329,25,9,0.00977111,0.005000865
7016,876.1483564,10,5.87E-09,0.126818222,7,9,0.000766872,0.000854379
7027,9789.564489,31,6.09E-09,0.049574351,18,9,0.003728515,0.00172676
7040,50014.64641,58,6.10E-09,0.023975715,19,8,0.006861651,0.002736413
